step,age_years,frailty,stem_cell_pool,ros_level,myeloid_bias,telomere_length,methylation_age,is_alive
8687,23.7837,0.374847,0.988314,0.042234,0.093101,1.000000,24.684559,true
8760,23.9836,0.376503,0.988136,0.040023,0.093644,1.000000,24.899927,true
8833,24.1834,0.378163,0.987957,0.037813,0.094191,1.000000,25.115433,true
8906,24.3833,0.379828,0.987777,0.035605,0.094741,1.000000,25.331078,true
8979,24.5832,0.381496,0.987595,0.033399,0.095293,1.000000,25.546862,true
9052,24.7830,0.383170,0.987411,0.031194,0.095849,1.000000,25.762785,true
9125,24.9829,0.384848,0.987226,0.028990,0.096409,1.000000,25.978848,true
9198,25.1828,0.386545,0.987040,0.030224,0.097486,1.000000,26.195051,true
9271,25.3826,0.388249,0.986852,0.031784,0.098616,1.000000,26.411394,true
9344,25.5825,0.389957,0.986662,0.033346,0.099749,1.000000,26.627878,true
9417,25.7823,0.391669,0.986472,0.034909,0.100885,1.000000,26.844501,true
9490,25.9822,0.393386,0.986280,0.036474,0.102024,1.000000,27.061266,true
9563,26.1821,0.395107,0.986086,0.038041,0.103166,1.000000,27.278172,true
9636,26.3819,0.396832,0.985892,0.039610,0.104311,1.000000,27.495218,true
9709,26.5818,0.398562,0.985696,0.041180,0.105459,1.000000,27.712406,true
9782,26.7817,0.400297,0.985499,0.042753,0.106611,1.000000,27.929735,true
9855,26.9815,0.402035,0.985300,0.044327,0.107766,1.000000,28.147207,true
9928,27.1814,0.403780,0.985100,0.045903,0.108924,1.000000,28.364820,true
10001,27.3812,0.405528,0.984899,0.047481,0.110085,1.000000,28.582577,true
10074,27.5811,0.407282,0.984697,0.049060,0.111250,1.000000,28.800476,true
10147,27.7810,0.409040,0.984493,0.050642,0.112418,1.000000,29.018517,true
10220,27.9808,0.410803,0.984287,0.052225,0.113590,1.000000,29.236704,true
10293,28.1807,0.412571,0.984081,0.053811,0.114765,1.000000,29.455036,true
10366,28.3806,0.414344,0.983873,0.055398,0.115944,1.000000,29.673512,true
10439,28.5804,0.416122,0.983663,0.056987,0.117126,1.000000,29.892130,true
10512,28.7803,0.417906,0.983452,0.058579,0.118312,1.000000,30.110893,true
10585,28.9802,0.419695,0.983240,0.060172,0.119501,1.000000,30.329802,true
10658,29.1800,0.421489,0.983026,0.061767,0.120694,1.000000,30.548855,true
10731,29.3799,0.423288,0.982811,0.063364,0.121890,1.000000,30.768053,true
10804,29.5797,0.425093,0.982595,0.064963,0.123091,1.000000,30.987396,true
10877,29.7796,0.426903,0.982377,0.066564,0.124295,1.000000,31.206884,true
10950,29.9795,0.428719,0.982157,0.068167,0.125502,1.000000,31.426519,true
11023,30.1793,0.430540,0.981937,0.069773,0.126714,1.000000,31.646299,true
11096,30.3792,0.432367,0.981714,0.071380,0.127929,1.000000,31.866226,true
11169,30.5791,0.434200,0.981490,0.072989,0.129149,1.000000,32.086273,true
11242,30.7789,0.436039,0.981265,0.074601,0.130372,1.000000,32.306545,true
11315,30.9788,0.437884,0.981038,0.076215,0.131599,1.000000,32.526875,true
11388,31.1786,0.439734,0.980810,0.077830,0.132831,1.000000,32.747425,true
11461,31.3785,0.441591,0.980580,0.079448,0.134066,1.000000,32.968067,true
11534,31.5784,0.443454,0.980349,0.081068,0.135305,1.000000,33.188896,true
11607,31.7782,0.445323,0.980116,0.082691,0.136549,1.000000,33.409855,true
11680,31.9781,0.447199,0.979881,0.084315,0.137797,1.000000,33.630962,true
11753,32.1780,0.449081,0.979645,0.085942,0.139049,1.000000,33.852238,true
11826,32.3778,0.450969,0.979408,0.087571,0.140305,1.000000,34.073624,true
11899,32.5777,0.452864,0.979169,0.089202,0.141566,1.000000,34.295219,true
11972,32.7775,0.454766,0.978928,0.090835,0.142831,1.000000,34.516884,true
12045,32.9774,0.456981,0.978686,0.093538,0.155719,1.000000,34.738800,true
12118,33.1773,0.458898,0.978441,0.095189,0.157139,1.000000,34.960762,true
12191,33.3771,0.460823,0.978195,0.096843,0.158565,1.000000,35.182983,true
12264,33.5770,0.462755,0.977948,0.098500,0.159997,1.000000,35.405270,true
